support;itemsets
0,7493553378029912;frozenset({'Equipe_Outras'})
0,48427024239298605;frozenset({'Abandono'})
0,443527591542032;frozenset({'Grid_Back'})
0,3935018050541516;frozenset({'Equipe_Outras', 'Grid_Back'})
0,3847343991748324;frozenset({'Abandono', 'Equipe_Outras'})
0,2810727178958226;frozenset({'Grid_Middle'})
0,27952552862300156;frozenset({'Nao_Pontuou'})
0,2753996905621454;frozenset({'Grid_Front'})
0,24548736462093862;frozenset({'Abandono', 'Grid_Back'})
0,23259412068076327;frozenset({'Equipe_Outras', 'Nao_Pontuou'})
0,21660649819494585;frozenset({'Abandono', 'Equipe_Outras', 'Grid_Back'})
0,20268179473955647;frozenset({'Equipe_Outras', 'Grid_Middle'})
0,1820526044352759;frozenset({'Equipe_Ferrari'})
0,16967509025270758;frozenset({'Nao_Pontuou', 'Grid_Back'})
0,15317173800928313;frozenset({'Equipe_Outras', 'Grid_Front'})
0,1521402784940691;frozenset({'Equipe_Outras', 'Nao_Pontuou', 'Grid_Back'})
0,1294481691593605;frozenset({'Abandono', 'Grid_Middle'})
0,10933470861268695;frozenset({'Abandono', 'Grid_Front'})
0,1000515729757607;frozenset({'Equipe_Ferrari', 'Grid_Front'})
0,09902011346054668;frozenset({'Abandono', 'Grid_Middle', 'Equipe_Outras'})
0,0959257349149046;frozenset({'Podio'})
0,09541000515729757;frozenset({'Pontuou'})
0,07993811242908716;frozenset({'Grid_Middle', 'Nao_Pontuou'})
0,06910778751933987;frozenset({'Abandono', 'Equipe_Outras', 'Grid_Front'})
0,06395048994326973;frozenset({'Abandono', 'Equipe_Ferrari'})
0,0629190304280557;frozenset({'Grid_Front', 'Podio'})
0,062403300670448685;frozenset({'Equipe_Outras', 'Pontuou'})
0,058793192367199584;frozenset({'Equipe_Outras', 'Grid_Middle', 'Nao_Pontuou'})
0,0479628674574523;frozenset({'Equipe_Ferrari', 'Grid_Middle'})
0,04538421866941723;frozenset({'Equipe_Outras', 'Podio'})
0,04486848891181021;frozenset({'Venceu'})
0,04486848891181021;frozenset({'Equipe_Ferrari', 'Podio'})
0,042289840123775145;frozenset({'Pontuou', 'Grid_Middle'})
0,039195461578133056;frozenset({'Grid_Front', 'Venceu'})
0,03558535327488396;frozenset({'Equipe_Ferrari', 'Nao_Pontuou'})
0,03403816400206292;frozenset({'Equipe_Ferrari', 'Grid_Front', 'Podio'})
0,03403816400206292;frozenset({'Pontuou', 'Grid_Front'})
0,03403816400206292;frozenset({'Equipe_Ferrari', 'Grid_Back'})
0,030943785456420837;frozenset({'Abandono', 'Equipe_Ferrari', 'Grid_Front'})
0,029912325941206807;frozenset({'Nao_Pontuou', 'Grid_Front'})
0,02888086642599278;frozenset({'Equipe_BRM'})
0,027333677153171736;frozenset({'Equipe_Outras', 'Pontuou', 'Grid_Middle'})
0,02527075812274368;frozenset({'Equipe_Outras', 'Grid_Front', 'Podio'})
0,02527075812274368;frozenset({'Grid_Middle', 'Podio'})
0,024239298607529654;frozenset({'Equipe_Outras', 'Venceu'})
0,0221763795771016;frozenset({'Equipe_Ferrari', 'Pontuou'})
0,021660649819494584;frozenset({'Equipe_Outras', 'Nao_Pontuou', 'Grid_Front'})
0,021144920061887573;frozenset({'Equipe_Mercedes'})
